Mensahe di Pasco di Gobernador di Aruba 2019	Governor’s Christmas speech 2019
Staf y personal di DRH ta desea tur hende feliz dianan di fiesta y un Prospero Aña 2020	The DRH staff wishes the Aruban community a Merry Christmas and a Happy 2020
Coriente ta baha entrante 1 januari 2020	Reduction electricity rate effective January 1, 2020
Riba 12 di december 2019, Gobierno di Aruba a anuncia entrante 1 di januari 2020, coriente lo conoce rebaho	On December 12, 2019, the government of Aruba announced that the electricity rates will go down as of January 1, 2020
Rebaho di coriente entrante 1 di januari 2020	Reduction electricity rates per January 1, 2020
Tipo	Type
Consumo di coriente	Electricity consumption
Categoria	Category
Tarifa anterior AWG/Kwh	Old rate AWG/kWh
Tarifa nobo AWG/Kwh	New rate AWG/kWh
Rebaho	Reduction
Domestico	Domestic
Comercio chikito	Commercial small
Misa, Skolnan, Fundacionnan	Churches,schools, foundations
Comercio grandi (hotelnan etc.)	Commercial large (hotels etc.)
Straatverlichting	Streetlighting
Prive-straatverlichting	Private streetlighting
Ta posibel pa baha e tarifa di coriente 1 di januari 2020 debi un maneho financiero responsabel combina cu e decision di cumpra fuel oil pa na un prijs mas abou pa full 2020 (Swap)	The rate reduction per January 1, 2020, was possible due to a responsible financial policy and by purchasing fuel oil for a lower price for 2020 (Swap)
Macutu di compras 14 di december 2019	Price comparison December 14, 2019
Regularmente Departamento di Asunto Economico ta haci un observacion di prijs den diferente supermercado y ta publica esaki den corantnan local	The Department of Economic Affairs regularly carries out price comparison in various supermarkets on Aruba and publishes this information in the local newspapers
E meta ta pa yuda e consumidor haya un comparacion di prijs di diferente producto basico	The purpose of this price observation is among others to give the consumer an overview of the price differences of various basic consumer goods 
Den e documento adhunto “macutu di compras 14 di december 2019” por mira e observacion di prijs cu a tuma luga entre 10 y 11 di december 2019	In the attached document "macutu di compras December 14, 2019" you will find the price comparison that was made on December 10 and 11, 2019
Celebracion di conmemoracion di 100 aña di e aereolinea Avianca	AVIANCA AIRLINES celebrates 100th anniversary
Riba 10 di december anochi a tuma luga celebracion di conmemoracion di 100 aña di e Aereolinea Avianca	On December 10, 2019, Avianca Airlines celebrated its 100th anniversary
Avianca ta e aerolinea di mas bieu di Sur America y e di dos mas bieu di mundo despues di KLM	Avianca is the longest-running airline of South America and the second oldest airline in the world, following the oldest airline KLM
Desde december 5 di 1919, e aereolinea a cuminsa opera	Avianca started its operations on December 5, 1919
Y awe, Avianca ta e compania di aereolina mas grandi na Colombia y e di dos mas grandi den Sur America cu un lista di destinacion extenso	And is currently the biggest airline company of Colombia and the second largest in South America with a growing list of destinations
Prome Minister Evelyn Wever-Croes a felicita e aerolinea gradiciendo nan pa hunga un rol importante den e industria turistico na Aruba desaroyando e mercado Latino Americano	Prime Minister Evelyn Wever-Croes showed gratitude for their huge contribution to the tourism industry of Aruba, for being an important partner in the South American tourism market
Awendia cu e situacion dificil na Venezuela, Bogota a bira nos hub pa Sur America	The current situation in Venezuela has made Colombia our South American hub
Cu e crecemento di comunidad Colombiano na Aruba y e acuerdo di diferente programa di Salud Publico na Colombia, a estrecha mas e lasonan entre e dos paisnan	The growing Colombian community in Aruba in combination with the medical partnership in Colombia only makes our ties with Colombia even stronger
Prome Minister Evelyn Wever-Croes: “100 aña di existencia y e legado di Avianca, ta testimonio di e fortalesa di e aereolinea"	According to the Prime Minister: “100 years of existence and the legacy of Avianca only resembles the strength of the airline”
Sin duda nos mester para keto un rato y puntra nos mes tur loke a wordo logra den e ultimo 100 añanan	It is important to stand still and admire all the accomplishments in those 100 years
Esaki ta un momento berdadero pa celebra y como un di e aereolineanan mas bieu di mundo, nos ta comparti hunto e logro grandi aki	This is indeed an occasion worth celebrating together; being one of the world’s oldest airline companies
Aruba, como un participante principal den e industria turistico den nos region, ta aprecia hopi e asociacion solido cu e aerolinea y su nivel halto di flota	Aruba, as one of the region’s leading tourism partners, is very grateful to the solid airline with its high-quality fleet
Promer Minister a felicita e accionistanan, Star Alliance Group, staf y e trahadonan di Avianca rond mundo y specialmente esnan di Aruba, cu e 100 añanan di Avianca	The Prime Minister praised the shareholders, Star Alliance Group, the staff and employers of Avianca worldwide and in particular those established in Aruba with the milestone celebration of Avianca
Aruba ta orguyoso di ta socio den e celebracion aki y ta expresa nos gratitud na Avianca pa su sosten na nos isla y pa conecta Aruba cu Sur America y mundo	Aruba is very proud as a partner in the celebration and expressed gratitude for the support and for connecting Aruba to South America and the world
E celebracion excepcional aki ta fortalece mas ainda e lasonan entre Colombia y Aruba no solamente cu e sosten den nos turismo, pero tambe den e lasonan economico, social y familiar di ambos comunidad	This celebration only strengthens the ties between Colombia and Aruba, not only in the tourism industry but also economically, socially while connecting our families
Diferente otro orador a hiba palabra e anochi aki entre otro Ronella Tjin Asjoe-Croes di ATA, Joost Meijs CEO Aruba Airport Authority NV y Pamela Flores, Regional Sales Coordinator Centro America y Caribe pa Avianca	Other speakers included Ronella Tjin Asjoe-Croes, CEO ATA, Joost Meijs CEO Aruba Airport Authority NV and Pamela Flores, Regional Sales Coordinator Center America and the Caribbean for Avianca
Tawata tin un bunita show di e cultura Colombiano y a corta bolo pa celebra y e grupo Vallenato Plus a clausura e evento cu ritmo y musica Colombiano	The evening concluded with a traditional Colombian presentation, cake cutting, and Vallenato Plus delighted guests with Colombian tunes
No mester di tramitador pa regla bo papel na DPL	No broker needed to handle DPL documents
Ministerio di Asunto Social y Labor ta informa clientenan di Departamento di Progreso Laboral (DPL) cu nan no mester di un tramitador pa regla nan papel na DPL	The Ministry of Social Affairs and Labor informs the clients of the Department of Labor Progression (DPL) that they do not need any broker/ facilitator to handle their documents at the DPL
Ta bon pa tur hende realisa cu e servicio di DPL ta completamente gratis	The services rendered at the DPL are completely free
E cliente cu kier haci uzo di servicio di un tramitador, mester realisa cu esaki por tin como consecuencia cu nan por bira victima di estafa	Anyone using brokers should be aware that they may be subject to fraud
Newsletter di proyecto SISSTEM di Universidad di Aruba	Newsletter SISSTEM project kicked off at the University of Aruba
Riba 1 di augustus, 2019 a cuminsa cu e Proyecto SISSTEM na Universidad di Aruba, un programa ambicioso cu tin como meta e desroyo di capacidad critico pa Solucion Duradero pa isla	On August 1, 2019, the SISSTEM project kicked off at the University of Aruba, an ambitious program aimed at the development of critical capacity for Sustainable Island Solutions
SISSTEM ta promove maneho di sostenibilidad riba un nivel academico, ta apoya e capacidad di recupera y adapta di e islanan chikito, y na mes un momento ta educa un generacion nobo di academico cu tin e habilidad y capacidad pa realisa e manehonan aki	SISSTEM advances sustainability policies at an academic level, supports resilience in small island states while educating a new generation of academics that have the skills and capacity to make these policies a reality
Den nan newsletter por haya informacion actualisa di e Proyecto SISSTEM	In their newsletter, you will find updated information on the SISSTEM project
Tambe por haya mas informacion tocante nan bachelor program, master program y proyectonan PhD riba nan web page	You will also find more information on their bachelor program, master program, and Ph.D. projects on their web page
Gobierno di Aruba lo no legalisa cannabis recreacional	Recreational cannabis will not be legalized in Aruba
Gobierno di Aruba ta informa cu lo no legalisa cannabis recreational	The Government of Aruba announced it would not legalize recreational cannabis
Ya pa algun tempo Gobierno ta trahando riba legalisacion di cannabis medicinal	The Government of Aruba has been working for a while on the legislation of medical cannabis
Esaki pasobra hopi ciudadano ta uza e azeta of crema di cannabis pa motibo medicinal y ta mira efectonan positivo	This to meet the demand for the use of cannabis-derived oils, creams, and its positive effects
Pero Gabinete Wever-Croes kier crea un base legal na Aruba pa asina por importa e azeta y crema di cannabis, di e forma aki e ta bira mas accesibel pa tur hende	This should be changed according to the Cabinet, Wever-Croes The import of cannabis oils and creams should become legal in Aruba making it more accessible for all.
